name,type,district,city,address,phone,website,mapsUrl
Bệnh viện Da liễu tỉnh Đắk Lắk (cơ sở 2),public,,,235 Xô Viết Nghệ Tĩnh,,,"https://www.google.com/maps/search/?api=1&query=12.6896647,108.0400509"
Bệnh viện Da liễu tỉnh Khánh Hoà,public,,,,,,"https://www.google.com/maps/search/?api=1&query=12.2782202,109.1833407"
Bệnh viện Dệt May,public,,,Ngõ 454 Minh Khai,,,"https://www.google.com/maps/search/?api=1&query=20.9965075,105.8651351"
Bệnh viện Domedic,private,,,30,,,"https://www.google.com/maps/search/?api=1&query=10.4756529,105.6122967"
Bệnh viện Đa khoa 115 Nghệ An,public,,,,,,"https://www.google.com/maps/search/?api=1&query=18.7111645,105.6779236"
Bệnh viện Đa khoa ACA,private,,,,,,"https://www.google.com/maps/search/?api=1&query=20.0683389,105.8532517"
Bệnh viện Đa khoa An Lão,public,,,,,,"https://www.google.com/maps/search/?api=1&query=20.8257146,106.5555185"
Bệnh Viện Đa khoa An Phú,public,,,,,,"https://www.google.com/maps/search/?api=1&query=10.9475149,106.7371674"
Bệnh viện Đa khoa Bà Rịa,public,,,686 Võ Văn Kiệt,,,"https://www.google.com/maps/search/?api=1&query=10.5094268,107.1969894"
Bệnh viện Đa khoa Bá Thước,public,,,,,,"https://www.google.com/maps/search/?api=1&query=20.3509775,105.2242059"
Bệnh viện Đa khoa Bạc Liêu,public,,,,,,"https://www.google.com/maps/search/?api=1&query=9.2833612,105.7196048"
Bệnh viện Đa khoa Bắc Ninh số 2,public,,,Đường Lê Lợi,,,"https://www.google.com/maps/search/?api=1&query=21.274755,106.1975944"
Bệnh viện Đa khoa Bến Lức,public,,,,,,"https://www.google.com/maps/search/?api=1&query=10.6407508,106.4869234"
Bệnh viện Đa khoa Bỉm Sơn,public,,,,,,"https://www.google.com/maps/search/?api=1&query=20.0696234,105.890671"
Bệnh viện Đa khoa Bình Chánh,public,,,,,,"https://www.google.com/maps/search/?api=1&query=10.6912666,106.5862179"
Bệnh viện Đa khoa Bình Dương,public,,,5 Phạm Ngọc Thạch,,,"https://www.google.com/maps/search/?api=1&query=10.9975187,106.6551913"
Bệnh viện Đa khoa Bình Điền,public,,,,,,"https://www.google.com/maps/search/?api=1&query=16.353529,107.5083049"
Bệnh viện Đa khoa Bình Phước,public,,,,,,"https://www.google.com/maps/search/?api=1&query=11.52578,106.863895"
Bệnh viện Đa khoa Bình Tân,public,,,809 Hương lộ 2,,,"https://www.google.com/maps/search/?api=1&query=10.7644533,106.6032245"
Bệnh viện Đa khoa Bình Thạnh,public,,,132 Đường Lê Văn Duyệt,,,"https://www.google.com/maps/search/?api=1&query=10.7980558,106.6967399"
Bệnh viện Đa khoa Bình Thuận,public,,,,,,"https://www.google.com/maps/search/?api=1&query=10.9401633,108.089251"
Bệnh viện Đa khoa Buôn Hồ,public,,,32 Đường Nơ Trang Lơng,,,"https://www.google.com/maps/search/?api=1&query=12.9111388,108.2687246"
Bệnh viện Đa khoa Buôn Ma Thuột,public,,,62 Nguyễn Đình Chiểu,,,"https://www.google.com/maps/search/?api=1&query=12.6934282,108.0476654"
Bệnh viện Đa khoa Cà Mau,public,,,16 Hải Thượng Lãn Ông,,,"https://www.google.com/maps/search/?api=1&query=9.1711096,105.160796"
Bệnh viện Đa khoa Cái Nước,public,,,,,,"https://www.google.com/maps/search/?api=1&query=8.945921,105.0130212"
Bệnh viện Đa khoa Cao su Phú Riềng,public,,,,,,"https://www.google.com/maps/search/?api=1&query=11.6617759,106.8985646"
Bệnh viện Đa khoa Cẩm Phả,public,,,,,,"https://www.google.com/maps/search/?api=1&query=21.0090752,107.2769803"
Bệnh viện Đa khoa Cẩm Thuỷ,public,,,,,,"https://www.google.com/maps/search/?api=1&query=20.2043816,105.4655792"
Bệnh viện Đa khoa Châu Đốc,public,,,917 Tôn Đức Thắng,,,"https://www.google.com/maps/search/?api=1&query=10.6894307,105.1483663"
Bệnh viện Đa khoa Củ Chi,public,,,,,,"https://www.google.com/maps/search/?api=1&query=11.08545,106.5092674"
Bệnh viện Đa khoa Đại An,public,,,,,,"https://www.google.com/maps/search/?api=1&query=19.8601031,105.6811273"
Bệnh viện Đa khoa Đăk Glong,public,,,,,,"https://www.google.com/maps/search/?api=1&query=11.8970721,107.797478"
Bệnh viện Đa khoa Đắk Nông,public,,,,,,"https://www.google.com/maps/search/?api=1&query=11.9861913,107.7005048"
Bệnh viện Đa khoa Đầm Dơi,public,,,,,,"https://www.google.com/maps/search/?api=1&query=8.9929143,105.2007781"
Bệnh viện Đa khoa Đôn Lương,public,,,,,,"https://www.google.com/maps/search/?api=1&query=20.7992822,106.8976139"
Bệnh viện Đa khoa Đông Anh,public,,,,,,"https://www.google.com/maps/search/?api=1&query=21.1392083,105.8532536"
Bệnh viện Đa khoa Đông Hưng,public,,,,,,"https://www.google.com/maps/search/?api=1&query=20.5534442,106.3587029"
Bệnh viện Đa khoa Đồng Tháp,public,,,,,,"https://www.google.com/maps/search/?api=1&query=10.471615,105.6275867"
Bệnh viện Đa khoa Gò Vấp,public,,,641 Đường Quang Trung,,,"https://www.google.com/maps/search/?api=1&query=10.8345835,106.661529"
Bệnh viện Đa khoa Hà Đông,public,,,,,,"https://www.google.com/maps/search/?api=1&query=20.9713454,105.7744735"
Bệnh viện Đa khoa Hà Giang,public,,,,,,"https://www.google.com/maps/search/?api=1&query=22.8202889,104.9848004"
Bệnh viện Đa khoa Hà Thành,public,,,57-63 Phố Vũ Thạnh,+84 24 3765 5599,https://benhvienhathanh.vn/,"https://www.google.com/maps/search/?api=1&query=21.026761,105.8265759"
Bệnh viện Đa khoa Hà Trung,public,,,,,,"https://www.google.com/maps/search/?api=1&query=20.0053006,105.8502803"
Bệnh viện Đa khoa Hạc Thành,public,,,,,,"https://www.google.com/maps/search/?api=1&query=19.8159646,105.7817233"
Bệnh viện Đa khoa Hải Dương,public,,,,,,"https://www.google.com/maps/search/?api=1&query=20.9347582,106.3080957"
